Disease,Remedy
Diarrhea,"Grated apple, Buttermilk with rock salt, Pomegranate juice"
Diarrhea,"Grated apple, Buttermilk with rock salt, Pomegranate juice"
Diarrhea,"Grated apple, Buttermilk with rock salt, Pomegranate juice"
Headache,"Clove paste on forehead, Ginger juice with lemon, Peppermint tea"
Fever,"Coriander seed tea, Tulsi-kadha, Rice starch (kanji)"
Diarrhea,"Grated apple, Buttermilk with rock salt, Pomegranate juice"
Sore Throat,"Haldi milk, Tulsi tea, Ginger juice"
Cough,"Honey and ginger juice, Warm turmeric milk, Black pepper in honey"
Fever,"Coriander seed tea, Tulsi-kadha, Rice starch (kanji)"
Constipation,"Warm water with lemon, Soaked raisins, Triphala powder with warm water"
Sore Throat,"Haldi milk, Tulsi tea, Ginger juice"
Fever,"Coriander seed tea, Tulsi-kadha, Rice starch (kanji)"
Common Cold,"Ginger-tulsi tea, Steam inhalation with ajwain, Honey and pepper mix"
Constipation,"Warm water with lemon, Soaked raisins, Triphala powder with warm water"
Common Cold,"Ginger-tulsi tea, Steam inhalation with ajwain, Honey and pepper mix"
Diarrhea,"Grated apple, Buttermilk with rock salt, Pomegranate juice"
Mild Allergy,"Turmeric-honey mix, Basil tea, Cold compress"
Headache,"Clove paste on forehead, Ginger juice with lemon, Peppermint tea"
Fever,"Coriander seed tea, Tulsi-kadha, Rice starch (kanji)"
Sore Throat,"Haldi milk, Tulsi tea, Ginger juice"
Cough,"Honey and ginger juice, Warm turmeric milk, Black pepper in honey"
Mild Allergy,"Turmeric-honey mix, Basil tea, Cold compress"
Muscle Pain,"Haldi milk, Tulsi tea, Ginger juice"
Constipation,"Warm water with lemon, Soaked raisins, Triphala powder with warm water"
Muscle Pain,"Haldi milk, Tulsi tea, Ginger juice"
Sore Throat,"Haldi milk, Tulsi tea, Ginger juice"
Headache,"Clove paste on forehead, Ginger juice with lemon, Peppermint tea"
Indigestion,"Ajwain and salt, Lemon juice in warm water, Buttermilk with hing"
Indigestion,"Ajwain and salt, Lemon juice in warm water, Buttermilk with hing"
Headache,"Clove paste on forehead, Ginger juice with lemon, Peppermint tea"
Headache,"Clove paste on forehead, Ginger juice with lemon, Peppermint tea"
Headache,"Clove paste on forehead, Ginger juice with lemon, Peppermint tea"
Muscle Pain,"Haldi milk, Tulsi tea, Ginger juice"
Fever,"Coriander seed tea, Tulsi-kadha, Rice starch (kanji)"
